Revenue,EBITDA,Profit Margin,returnOnEquity,Book Value per Share,Operating Cash Flow,Dividend Yield,R&D Expenses,PRICE VAR [%],Class,Sector
1043100000.0,197652000.0,0.1119999999999999,0.1814,1.321,379019000.0,0.0104,0.0,-11.859927645515196,0,Consumer Defensive
1275000000.0,315000000.0,0.1521568627450999,0.0656,9.981000000000002,194000000.0,0.0,0.0,22.69939224614768,1,Consumer Defensive
2348859543.8175,291596638.6555,0.084,0.0737,12.2137,232653061.2245,0.0,0.0,-0.2386689438011569,0,Consumer Defensive
882060000.0,230188000.0,0.079,0.0844,15.527,148672000.0,0.0,0.0,-29.64228847073139,0,Consumer Defensive
1327029000.0,154642000.0,-0.078,-0.1298,6.468,135130000.0,0.0,0.0,-5.240649249208451,0,Consumer Defensive
3920733000.0,332569000.0,0.038,0.12,5.968,297389000.0,0.0347,0.0,-0.9792353723383148,0,Consumer Defensive
776188000.0,234037000.0,0.288,0.2841,7.952000000000001,163685000.0,0.0,0.0,-28.403142856233405,0,Consumer Defensive
933178000.0,290562000.0,0.0139999999999999,0.0196,5.563,237105000.0,0.0,0.0,-32.68858863212853,0,Consumer Defensive
347448000.0,65250000.0,0.118,0.2479,10.075,33471000.0,0.0128,0.0,-27.669071210753664,0,Consumer Defensive
1799509000.0,189809000.0,0.153,0.1633,10.669,622694000.0,0.0,0.0,-43.951323386695925,0,Consumer Defensive
2269700000.0,242700000.0,-0.001,-0.0016,6.325,278700000.0,0.0145,0.0,-14.722660251026342,0,Consumer Defensive
2343505000.0,170579000.0,0.0289999999999999,0.0394,16.531,219923000.0,0.0,0.0,-62.19308851434231,0,Consumer Defensive
2227000000.0,253000000.0,0.066457117198024,0.0656,9.981000000000002,197000000.0,0.0,0.0,-0.2594313840187405,0,Consumer Defensive
1301520000.0,61666000.0,0.011,0.0578,9.518,31497000.0,0.0,0.0,50.84904901579914,1,Consumer Defensive
286074000.0,37514000.0,-0.022,-0.089,2.149,17574000.0,0.0,0.0,12.259621336262825,1,Consumer Defensive
146504685.6106,12280834.340999998,-0.0074,-0.1547,0.9202,52917170.4958,0.0,0.0,-46.50537649914492,0,Consumer Defensive
890315000.0,112862000.0,0.067,0.0918,10.825,67088000.0,0.0,0.0,28.026951221294222,1,Consumer Defensive
591251000.0,78312000.0,0.07,0.096,13.9,35891000.0,0.0166,0.0,53.31913245897299,1,Consumer Defensive
974134000.0,339925000.0,0.209,0.2062,20.915,304898000.0,0.0,0.0,7.611376013537862,1,Consumer Defensive
2759767296.0676,358532187.1953,0.0001,0.1345,9.6844,426001675.3331,0.0,0.0,-13.940417301771074,0,Consumer Defensive
1074513000.0,-64714000.0,-0.069,-0.0881,17.425,-45918000.0,0.0,0.0,-1.8049615017342668,0,Consumer Defensive
201359254.2065,43974988.6312,0.0197,0.1215,2.0476,70474306.503,0.0,0.0,-54.11061427022511,0,Consumer Defensive
4085900000.0,232000000.0,0.03,0.0683,35.174,194200000.0,0.0126,0.0,-38.85400566437912,0,Consumer Defensive
2279099000.0,337131000.0,0.057,0.1837,13.343,302555000.0,0.021,0.0,-8.762576324379449,0,Consumer Defensive
2996628000.0,185811000.0,0.03,0.128,23.61,123021000.0,0.0086,0.0,-32.29401081353745,0,Consumer Defensive
2054000000.0,197000000.0,0.0384615384615379,0.0656,9.981000000000002,151000000.0,0.0,0.0,-16.51082087840971,0,Consumer Defensive
269888000.0,45765000.0,0.124,0.1727,4.274,12378000.0,0.0,0.0,-61.37377422862338,0,Consumer Defensive
1397535000.0,202632000.0,0.1009999999999999,0.1378,37.089,228501000.0,0.0,0.0,36.71703684007724,1,Consumer Defensive
1075565000.0,69434000.0,0.035,0.1527,14.017,62140000.0,0.0122,0.0,-14.186497826389925,0,Consumer Defensive
966665000.0,-9511000.0,-0.034,-0.1637,4.525,404000.0,0.0,0.0,-41.379310628321726,0,Consumer Defensive
298338270.8585,48003887.689,0.022,0.1513,4.1053,43630139.0568,0.0016,15119709.7944,-57.25262963765842,0,Consumer Defensive
1207909000.0,197995000.0,0.1009999999999999,0.0733,26.651,230920000.0,0.0047,0.0,9.410403918668711,1,Consumer Defensive
324263000.0,14854000.0,-0.0409999999999999,-0.0646,5.09,-9978000.0,0.0,0.0,53.36134117055904,1,Consumer Defensive
2054478000.0,196455000.0,0.038,0.124,12.656,114309000.0,0.0,0.0,-11.234219160198505,0,Consumer Defensive
140803000.0,17026000.0,0.051,0.0686,4.194,25099000.0,0.0,0.0,-65.6470579259536,0,Consumer Defensive
1201842000.0,200422000.0,0.096,0.2002,21.039,146385000.0,0.0175,0.0,39.76075014192129,1,Consumer Defensive
862992000.0,167398000.0,0.115,0.2339,35.191,135982000.0,0.0,0.0,26.757892809416127,1,Consumer Defensive
3385876000.0,599800000.0,-0.061,0.0581,8.408999999999999,192157000.0,0.0,0.0,3.532605262610609,1,Consumer Defensive
3466807000.0,164438000.0,0.0279999999999999,0.0991,36.911,160261000.0,0.0286,0.0,16.827958084083114,1,Consumer Defensive
454851000.0,71379000.0,0.045,0.0985,19.591,56157000.0,0.011,0.0,25.89515231477833,1,Consumer Defensive
509208000.0,29795000.0,0.025,0.0685,11.228,26260000.0,0.0,0.0,-46.90526460346423,0,Consumer Defensive
299248000.0,51390000.0,0.071,0.073,17.825,47938000.0,0.0,0.0,10.310077232836266,1,Consumer Defensive
4002699727.0,242648991.0,0.013,0.1054,25.225,156340291.0,0.0258,0.0,-23.89845822957105,0,Consumer Defensive
596435000.0,49669000.0,-0.053,-0.1077,4.296,-21789000.0,0.0,0.0,-8.713030636653446,0,Consumer Defensive
519289000.0,103762000.0,0.156,0.1102,11.282,42973000.0,0.01,0.0,-3.857179990347901,0,Consumer Defensive
440000000.0,65000000.0,0.054545454545455,0.0656,9.981000000000002,64000000.0,0.0,0.0,32.063492063492056,1,Consumer Defensive
3686345000.0,87356000.0,0.012,0.0521,28.704,75285000.0,0.0204,0.0,-3.642403601688163,0,Consumer Defensive
2693700000.0,144200000.0,-0.068,0.2378,-14.647,-139300000.0,0.0,0.0,14.760818489758798,1,Consumer Defensive
888519000.0,78319000.0,0.001,0.0008,14.997,88728000.0,0.0,12457000.0,53.87957775494064,1,Consumer Defensive
125226739.0666,40928969.7681,0.0289,0.1523,6.2405,42112268.8582,0.0,0.0,6.315120769279186,1,Consumer Defensive
1084224000.0,165841000.0,0.073,0.1159999999999999,36.474,125349000.0,0.0127,0.0,-1.858360388887136,0,Consumer Defensive
185256000.0,2687000.0,-0.039,-0.0843,6.156000000000001,17357000.0,0.0,0.0,-0.0894875052452086,0,Consumer Defensive
469776000.0,27133000.0,0.023,0.0467,8.308,29838000.0,0.0,9473000.0,-5.279998779296875,0,Consumer Defensive
121309000.0,18917000.0,0.05,0.0484,9.515,18482000.0,0.0094,0.0,-10.184230546892158,0,Consumer Defensive
541500000.0,68937000.0,0.042,0.0982,13.771,42112000.0,0.0,0.0,-26.17088720863817,0,Consumer Defensive
207456000.0,15213000.0,0.046,0.0728,6.782,16778000.0,0.0,0.0,-26.04651091727893,0,Consumer Defensive
121946000.0,12498000.0,0.059,0.1183,9.298,14137000.0,0.0,0.0,-4.56310930412979,0,Consumer Defensive
75373810.0,1632374.0,-0.157,-0.1931,3.455,-10300160.0,0.0,3032112.0,-54.17721719165733,0,Consumer Defensive
118893000.0,2550000.0,-0.003,-0.0074,2.893,3808000.0,0.0,0.0,-77.6190466594263,0,Consumer Defensive
130550349.0,10715317.0,0.031,0.0812,14.800999999999998,4810876.0,0.0183,0.0,-36.69697129984975,0,Consumer Defensive
129829000.0,11070000.0,-0.073,-0.0588,19.354,28229000.0,0.0069,0.0,2.8785161598941564,1,Consumer Defensive
14246696.0,-211020.0,-0.078,-0.141,0.6779999999999999,-1488160.0,0.0,0.0,-36.64739582954344,0,Consumer Defensive
81499045.0,-4241721.0,-0.069,-0.2117,1.307,1559502.0,0.0,0.0,51.51514549448056,1,Consumer Defensive
59000000.0,5000000.0,0.016949152542373,0.0656,9.981000000000002,2000000.0,0.0,0.0,16.842226963425958,1,Consumer Defensive
32042000.0,1296000.0,-0.038,-0.0732,2.935,1220000.0,0.0,593000.0,-22.564104946720786,0,Consumer Defensive
215984000.0,3000000.0,-0.017,-0.0275,5.403,11162000.0,0.0,0.0,-69.93630670360767,0,Consumer Defensive
2951195983.7316,378991255.7194,0.0043,0.1391,36.3621,278566039.6543,0.0007,0.0,-30.58827368162484,0,Consumer Defensive
77127595.0,1737662.0,0.006,0.0187,4.259,1476633.0,0.0,0.0,-19.03670038320864,0,Consumer Defensive
56194981.8622,37766626.3603,0.0444,0.0409,3.4652,19664752.1161,0.0247,0.0,22.681532425277897,1,Consumer Defensive
176696000.0,4324000.0,-0.01,-0.0444,14.86,10324000.0,0.0339,0.0,35.74213887363008,1,Consumer Defensive
342029000.0,13020000.0,-0.038,-0.1081,6.341,10524000.0,0.0086,0.0,-29.741384909354075,0,Consumer Defensive
37940978.0,4630591.0,0.069,0.1046,2.696,2928277.0,0.0146,0.0,-18.766061150681224,0,Consumer Defensive
41788782.0,857468.0,-0.017,-0.0485,7.786,-156795.0,0.0,0.0,-12.577322587815956,0,Consumer Defensive
1246000000.0,54000000.0,0.010433386837881,0.0656,9.981000000000002,24000000.0,0.0,0.0,-13.323531431310318,0,Consumer Defensive
189869000.0,7088000.0,-0.012,-0.1649,0.7340000000000001,1211000.0,0.0,0.0,-26.57342721468152,0,Consumer Defensive
22000000.0,0.0,-0.0,0.0656,9.981000000000002,1000000.0,0.0,0.0,-3.50000262260437,0,Consumer Defensive
89855414.7465,11055299.5392,0.023,0.0602,9.0397,4158698.1567,0.0,0.0,4.640717825536844,1,Consumer Defensive
20853527.0,5464848.0,0.11,0.0669,8.975,2520927.0,0.0,0.0,-16.484850103204902,0,Consumer Defensive
21000000.0,5000000.0,0.14285714285714,0.0656,9.981000000000002,3000000.0,0.0,0.0,-16.716805186096558,0,Consumer Defensive
1418000000.0,75009000.0,0.04,0.0656,9.981000000000002,280050000.0,0.0,0.0,-5.789474509759632,0,Basic Materials
939780000.0,180584000.0,0.193,0.0203,4.428999999999999,118000000.0,0.0,0.0,-53.65168531800954,0,Basic Materials
843215000.0,350568000.0,0.068,0.0118,11.086,538808000.0,0.0148,0.0,-10.72259461043911,0,Basic Materials
0.0,77088000.0,0.04,0.0366,1.59,155000000.0,0.0,0.0,-4.8859894150042775,0,Basic Materials
1589100000.0,162600000.0,0.031,0.0586,9.5,51500000.0,0.0,0.0,-65.80916637174728,0,Basic Materials
